Tag,Content
h2,About Mechanical Engineering
p,"Mechanical Engineering program commits to optimize the proficiency in designing, building, and improving ventures that require mechanical force work and energy founded with basic and applied sciences. Learners will be engaged in various mechanical undertakings such as space vehicles, gadgets, power plants, smart mechanisms and robots, transportation vehicles, and appliances."
p,"With pursuits on the efficient transformation of energy, learners will be further exposed to conversion of thermal energy and chemical energy to mechanical work through the use of state-of-the-art equipment. Moreover, the program prepares future mechanical engineers to produce products with structural integrity in order to meet the local and global standards in the field of mechanical engineering."
h2,Educational Objectives
li,"Graduates of mechanical engineering program will have the technical skills and professional qualifications to become competent engineers who can support the industry, academe, or government."
li,"Graduates of mechanical engineering program will be collaborators and innovators in the field, leading or participating in efforts to address social, technical, ethical and business challenges."
li,Graduates of mechanical engineering program will be engaged in life-long learning and professional development.
h2,Program Outcomes
p,Graduates of the Bachelor of Science in Mechanical Engineering program are expected to demonstrate:
ul,"An ability to apply knowledge of mathematics, science, and engineering;An ability to design and conduct experiments, as well as to analyze and interpret data;An ability to design a system, component, or process to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability;An ability to function on multi-disciplinary teams;An ability to identify, formulate, and solve engineering problems;An understanding of professional and ethical responsibility;An ability to communicate effectively;The broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context;A recognition of the need for, and an ability to engage in life-long learning;A knowledge of contemporary issues;An ability to use the techniques, skills and modern engineering tools necessary for engineering practice; andKnowledge and understanding of engineering and management principles as a member and leader in a team, to manage projects and in multidisciplinary environments."
li,"An ability to apply knowledge of mathematics, science, and engineering;"
li,"An ability to design and conduct experiments, as well as to analyze and interpret data;"
li,"An ability to design a system, component, or process to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability;"
li,An ability to function on multi-disciplinary teams;
li,"An ability to identify, formulate, and solve engineering problems;"
li,An understanding of professional and ethical responsibility;
li,An ability to communicate effectively;
li,"The broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context;"
li,"A recognition of the need for, and an ability to engage in life-long learning;"
li,A knowledge of contemporary issues;
li,"An ability to use the techniques, skills and modern engineering tools necessary for engineering practice; and"
li,"Knowledge and understanding of engineering and management principles as a member and leader in a team, to manage projects and in multidisciplinary environments."
